epoch,train_loss,val_loss,time_seconds
1,0.070795,0.039371,91.4
2,0.038617,0.037325,68.2
3,0.037078,0.036190,28.5
4,0.036431,0.036204,28.5
5,0.035788,0.036155,28.6
6,0.035363,0.035360,28.6
7,0.035088,0.035136,28.6
8,0.034891,0.034405,28.6
9,0.034488,0.034200,28.6
10,0.034315,0.033983,28.6
11,0.034086,0.034048,28.7
12,0.033857,0.033474,28.7
13,0.033604,0.033665,28.8
14,0.033512,0.033633,28.8
15,0.033294,0.033098,28.7
16,0.033118,0.033027,28.8
17,0.032860,0.033234,28.7
18,0.032657,0.032869,28.7
19,0.032612,0.032719,28.7
20,0.032537,0.032358,28.7
21,0.032368,0.032532,28.6
22,0.032262,0.032121,28.7
23,0.032071,0.032012,28.7
24,0.031944,0.032020,28.7
25,0.031893,0.031904,28.7
26,0.031922,0.032116,28.7
27,0.031819,0.031816,28.7
28,0.031707,0.032008,28.7
29,0.031753,0.031707,28.6
30,0.031554,0.031686,28.7
31,0.031596,0.031718,28.7
32,0.031416,0.031562,28.7
33,0.031384,0.031702,28.7
34,0.031303,0.031587,28.7
35,0.031294,0.031701,28.7
36,0.031269,0.031460,28.8
37,0.031124,0.031481,28.6
38,0.031153,0.031381,28.8
39,0.031119,0.031606,28.7
40,0.030984,0.031632,28.7
41,0.031001,0.031536,28.6
42,0.031008,0.031332,28.8
43,0.030849,0.031358,28.6
44,0.030840,0.031329,28.7
45,0.030848,0.031517,28.7
46,0.030943,0.031247,28.7
47,0.030721,0.031426,28.7
48,0.030625,0.031128,28.7
49,0.030721,0.031170,28.7
50,0.030585,0.031159,28.7
51,0.030577,0.031137,28.8
52,0.030578,0.031224,28.7
53,0.030495,0.031358,28.7
54,0.030488,0.031134,28.7
55,0.030474,0.031353,28.7
56,0.030448,0.031115,28.7
57,0.030404,0.031190,28.7
58,0.030300,0.031192,28.7
59,0.030287,0.030997,28.7
60,0.030319,0.031068,28.7
61,0.030218,0.031077,28.7
62,0.030243,0.031179,28.7
63,0.030156,0.030980,28.8
64,0.030175,0.031032,28.8
65,0.030109,0.031023,28.7
66,0.030090,0.031106,28.8
67,0.030058,0.031025,28.8
68,0.029994,0.031135,28.7
69,0.030040,0.031073,28.7
70,0.030014,0.031052,28.7
71,0.029975,0.031030,28.7
72,0.029903,0.031097,28.7
73,0.029882,0.031060,28.7
74,0.029844,0.031037,28.7
75,0.029894,0.031148,28.7
76,0.029776,0.030933,28.7
77,0.029800,0.031246,28.7
78,0.029736,0.030977,28.8
79,0.029770,0.031079,40.2
80,0.030164,0.031128,119.3
81,0.029883,0.030937,28.6
82,0.029711,0.031139,28.5
83,0.029699,0.031060,28.5
84,0.029711,0.031060,28.6
85,0.029625,0.031060,28.6
86,0.029556,0.031088,28.6
87,0.029547,0.031075,28.6
88,0.029545,0.031008,28.6
89,0.029494,0.031221,28.7
90,0.029487,0.030909,28.7
91,0.029497,0.031058,28.8
92,0.029502,0.031028,28.7
93,0.029425,0.030897,28.7
94,0.029411,0.031036,28.7
95,0.029404,0.031073,28.7
96,0.029376,0.030976,28.7
97,0.029358,0.031012,28.7
98,0.029351,0.031184,28.7
99,0.029319,0.031012,28.7
100,0.029270,0.031013,28.7
101,0.029250,0.031150,28.7
102,0.029258,0.031046,28.7
103,0.029230,0.031022,28.7
104,0.029223,0.030991,28.7
105,0.029209,0.031135,28.6
106,0.029221,0.030928,28.6
107,0.029094,0.031015,28.7
108,0.029152,0.031365,28.6
109,0.029140,0.030972,28.7
110,0.029084,0.030988,28.7
111,0.029111,0.031068,28.8
112,0.029102,0.031127,28.7
113,0.029039,0.030934,28.6
114,0.029039,0.031238,28.7
115,0.029029,0.031106,28.7
116,0.029051,0.031103,28.6
117,0.029028,0.031114,28.7
118,0.028928,0.031125,28.7
119,0.028918,0.031258,28.7
120,0.028934,0.031153,28.6
121,0.028878,0.031166,28.8
122,0.028883,0.031088,28.6
123,0.028845,0.031172,28.7
124,0.028847,0.031044,28.7
125,0.028805,0.031189,28.7
126,0.028758,0.031139,28.6
127,0.028769,0.031082,28.7
128,0.028794,0.031165,28.7
129,0.028784,0.031213,28.7
130,0.028751,0.031102,28.7
131,0.028730,0.031139,28.7
132,0.028757,0.031128,28.7
133,0.028719,0.031569,28.7
134,0.028679,0.031254,28.7
135,0.028683,0.031097,28.7
136,0.028691,0.031170,28.7
137,0.028657,0.031174,28.7
138,0.028631,0.031141,28.7
139,0.028603,0.031035,28.7
140,0.028545,0.031163,28.7
141,0.028628,0.031149,28.7
142,0.028602,0.031116,28.7
143,0.028651,0.031242,28.7
144,0.028578,0.031080,28.7
145,0.028556,0.031193,28.7
146,0.028487,0.031227,28.6
147,0.028495,0.031223,28.7
148,0.028471,0.031066,28.7
149,0.028530,0.031525,28.6
150,0.028517,0.031206,28.7
