epoch,train_loss,train_l1,train_ssim_loss,train_perceptual,val_loss,lr,time_seconds
1,0.599388,0.065482,0.457124,0.767826,0.488987,0.000050,88.4
2,0.489531,0.042997,0.377296,0.692387,0.504832,0.000000,84.9
1,0.599388,0.065482,0.457124,0.767826,0.488987,0.000100,86.0
2,0.494395,0.044979,0.379228,0.701879,0.497090,0.000100,85.5
3,0.495033,0.044860,0.379525,0.706470,0.555197,0.000100,84.9
4,0.510352,0.054559,0.382984,0.728094,0.488967,0.000100,85.3
5,0.501987,0.045861,0.386096,0.700307,0.511531,0.000100,84.7
6,0.497421,0.045173,0.382974,0.692738,0.521842,0.000100,84.7
7,0.486736,0.043296,0.374833,0.686068,0.497779,0.000100,84.8
8,0.475475,0.042068,0.364928,0.684789,0.483234,0.000100,84.7
9,0.464484,0.040477,0.356263,0.677432,0.463976,0.000100,84.8
10,0.471708,0.041381,0.362841,0.674857,0.492678,0.000100,84.7
11,0.473497,0.042131,0.363063,0.683032,0.464578,0.000100,84.7
12,0.478552,0.043185,0.367144,0.682237,0.481406,0.000100,84.7
13,0.473603,0.041323,0.363858,0.684221,0.484530,0.000100,84.7
14,0.475448,0.041861,0.365042,0.685450,0.517496,0.000100,84.8
15,0.478944,0.041698,0.369754,0.674931,0.465760,0.000100,84.8
16,0.480270,0.042632,0.369834,0.678048,0.478628,0.000099,84.7
17,0.479764,0.043171,0.368717,0.678765,0.510736,0.000099,84.7
18,0.479345,0.042027,0.369468,0.678498,0.489248,0.000099,84.8
19,0.477590,0.041527,0.368184,0.678793,0.537831,0.000099,84.8
20,0.484777,0.043562,0.372901,0.683130,0.477405,0.000099,84.7
21,0.483191,0.043269,0.372060,0.678624,0.486692,0.000099,84.7
22,0.468293,0.041367,0.359285,0.676402,0.464218,0.000099,84.7
23,0.465737,0.040573,0.357416,0.677481,0.493713,0.000099,84.7
24,0.462222,0.040061,0.354591,0.675697,0.459486,0.000099,84.8
25,0.482019,0.044048,0.370035,0.679358,0.507893,0.000099,84.7
26,0.520782,0.071348,0.376899,0.725350,0.627451,0.000099,84.7
27,0.535126,0.078004,0.384193,0.729282,0.510423,0.000099,84.6
28,0.494547,0.056780,0.366729,0.710378,0.486763,0.000098,84.7
29,0.492852,0.051267,0.372499,0.690867,0.473966,0.000098,84.6
30,0.477168,0.042019,0.365660,0.694892,0.486690,0.000098,84.7
31,0.493359,0.046719,0.369988,0.766519,0.501886,0.000098,84.6
32,0.499134,0.050451,0.370686,0.779972,0.498989,0.000098,84.7
33,0.527025,0.065828,0.372367,0.888299,0.517995,0.000098,84.8
34,0.510563,0.054376,0.372449,0.837381,0.493833,0.000098,84.6
35,0.529045,0.053772,0.395963,0.793105,0.613630,0.000098,84.6
36,0.565060,0.079901,0.395145,0.900134,0.534070,0.000097,84.6
37,0.492432,0.045976,0.370828,0.756276,0.493606,0.000097,84.6
38,0.501927,0.044341,0.384046,0.735406,0.501935,0.000097,84.6
39,0.500221,0.045361,0.382390,0.724699,0.502832,0.000097,84.6
40,0.529337,0.063332,0.385954,0.800500,0.500854,0.000097,84.6
41,0.493412,0.051469,0.370325,0.716177,0.481881,0.000097,84.6
42,0.503564,0.052494,0.379855,0.712145,0.503931,0.000096,84.6
43,0.486896,0.044832,0.372363,0.697004,0.486131,0.000096,84.7
44,0.490565,0.045510,0.374232,0.708232,0.485528,0.000096,84.6
45,0.500401,0.053725,0.370251,0.764252,0.498150,0.000096,84.7
46,0.482165,0.044294,0.367653,0.702180,0.491444,0.000096,84.6
47,0.487428,0.043598,0.375090,0.687404,0.488461,0.000096,84.6
48,0.509329,0.055801,0.370039,0.834886,0.513635,0.000095,84.6
49,0.471465,0.041757,0.359334,0.703746,0.494272,0.000095,84.7
50,0.489639,0.044605,0.373107,0.719276,0.482783,0.000095,84.6
51,0.556047,0.078084,0.381238,0.967247,0.529111,0.000095,84.6
52,0.494458,0.051185,0.372186,0.710868,0.487538,0.000095,84.6
53,0.478855,0.042549,0.368606,0.677006,0.487636,0.000094,84.7
54,0.474769,0.042914,0.361684,0.701713,0.477969,0.000094,84.6
55,0.468887,0.040712,0.359690,0.684844,0.514401,0.000094,84.6
56,0.482255,0.042318,0.371544,0.683920,0.479484,0.000094,84.6
57,0.465950,0.040115,0.357398,0.684364,0.470287,0.000094,84.6
58,0.472436,0.040868,0.363276,0.682921,0.484340,0.000093,84.6
59,0.473197,0.041279,0.362514,0.694046,0.474114,0.000093,84.6
60,0.476834,0.041949,0.365449,0.694357,0.509891,0.000093,84.6
61,0.507689,0.048800,0.382752,0.761369,0.510724,0.000093,84.7
62,0.487993,0.043226,0.375961,0.688056,0.495800,0.000092,84.7
63,0.476651,0.041696,0.366661,0.682936,0.483212,0.000092,84.7
64,0.473937,0.041210,0.364580,0.681472,0.481766,0.000092,84.7
65,0.489957,0.042970,0.379903,0.670847,0.499203,0.000092,84.6
66,0.472730,0.040787,0.364633,0.673112,0.472248,0.000091,84.6
67,0.469887,0.040830,0.360233,0.688236,0.476969,0.000091,84.6
68,0.464014,0.039884,0.355916,0.682141,0.469386,0.000091,84.6
69,0.485941,0.042362,0.375998,0.675802,0.481833,0.000091,84.6
70,0.463921,0.039956,0.356426,0.675392,0.467453,0.000090,84.6
71,0.463210,0.039781,0.355876,0.675535,0.467093,0.000090,84.6
72,0.473786,0.041897,0.363083,0.688058,0.475793,0.000090,84.7
73,0.461098,0.039375,0.353875,0.678471,0.480218,0.000090,84.6
74,0.467977,0.040968,0.358947,0.680622,0.498254,0.000089,84.7
75,0.472690,0.041613,0.363550,0.675271,0.469944,0.000089,84.6
76,0.462656,0.039943,0.354859,0.678549,0.468635,0.000089,84.6
77,0.467206,0.040654,0.358277,0.682752,0.468536,0.000089,84.7
78,0.458438,0.039285,0.350722,0.684309,0.463090,0.000088,84.6
